Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Stimulus_Identity,Color_Matching,Evaluative_Measure_Order,IAT_Block_Order,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,Intentions_response,Intention_Ratings_Recoded,EXPLORATORY_QUESTIONS,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS2_recoded,CS_Color_CS1,CS_Color_CS2,CS_Color_Pos_US,CS_Color_Neg_US,CS_Color_CS1_recoded,CS_Color_CS2_recoded,CS_Color_Pos_US_recoded,CS_Color_Neg_US_recoded,CS_Color_Total_Score_recoded,Hypothesis_Awareness,Hypothesis_Awareness_recoded,Influence_Awareness_response,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response,Color_Training_Contingency_Memory_Blue,Color_Training_Contingency_Memory_Blue_recoded,Color_Training_Contingency_Memory_Yellow,Color_Training_Contingency_Memory_Yellow_recoded,Color_Training_Contingency_Memory_Green,Color_Training_Contingency_Memory_Green_recoded,Color_Training_Contingency_Memory_Purple,Color_Training_Contingency_Memory_Purple_recoded,Total_Contingency_Awareness_Score
399,NA,38,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.53,NA,0,0,0,0,0,0,0,0,0,0,0,I would try both Morag and Struan                                                                   ,NA,NA,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,yes                                                                                                 ,1,not sure but i was aware of pattern                                                                 ,0,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
402,NA,27,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.643,NA,-3,-3,-3,-3,3,3,3,3,-3,3,-6,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,0,0,yes                                                                                                 ,1,No.  I found it really hard to asspciate blue with yellow as yellow is used to mix green and the sam,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
406,NA,20,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.626,NA,-5,-4,-4,-4,4,4,5,4,-4.25,4.25,-8.5,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Purple                                                                                              ,Green                                                                                               ,I don稚 remember                                                                                   ,I don稚 remember                                                                                   ,0,1,0,0,1,Yes                                                                                                 ,1,Yes                                                                                                 ,1,No                                                                                                  ,Yes                                                                                                 ,Yes                                                                                                 ,Yes                                                                                                 ,Yes                                                                                                 ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,1
413,NA,21,Male                                                                                                ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.538,NA,0,0,1,0,0,0,0,0,0.25,0,0.25,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,no i didn't notice                                                                                  ,0,no I felt neutral towards them both                                                                 ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
415,NA,23,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.264,NA,2,1,1,1,1,1,2,1,1.25,1.25,0,I don't know                                                                                        ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Yellow                                                                                              ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,0,0,Yes I did                                                                                           ,1,Nope                                                                                                ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,Purple                                                                                              ,0,Green                                                                                               ,0,Purple                                                                                              ,1,Green                                                                                               ,1,0
416,NA,20,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.522,NA,-3,-5,-4,-4,4,5,5,4,-4,4.5,-8.5,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,yellow was negative pink/purple was positive                                                        ,1,not completely sure                                                                                 ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
418,NA,40,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.079,NA,3,3,3,3,-3,-3,-3,-3,3,-3,6,I would try Morag                                                                                   ,NA,NA,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,0,0,No                                                                                                  ,0,Yes                                                                                                 ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
422,NA,31,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.446,NA,0,0,0,0,0,0,0,0,0,0,0,I don't know                                                                                        ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,I don’t remember                                                                                  ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,0,1,1,1,3,No did not notice                                                                                   ,0,No                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Purple                                                                                              ,0,Blue                                                                                                ,1,I don’t remember                                                                                  ,0,I don’t remember                                                                                  ,0,3
425,NA,25,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.136,NA,2,2,1,2,-2,-2,-3,-2,1.75,-2.25,4,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes                                                                                                 ,1,No                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
427,NA,38,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.032,NA,2,2,1,2,0,0,-1,0,1.75,-0.25,2,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes                                                                                                 ,1,I think it did influence me.                                                                        ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yes                                                                                                 ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
433,NA,35,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.347,NA,0,0,0,0,0,0,0,0,0,0,0,I would try neither Brand                                                                           ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,No.                                                                                                 ,0,No                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
434,NA,40,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,-0.645,NA,3,4,4,3,3,3,3,3,3.5,3,0.5,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,Yes I do                                                                                            ,1,NO                                                                                                  ,0,Yes                                                                                                 ,No                                                                                                  ,Yes                                                                                                 ,No                                                                                                  ,Yes                                                                                                 ,Yellow                                                                                              ,1,I don’t remember                                                                                  ,0,Blue                                                                                                ,0,I don’t remember                                                                                  ,0,4
436,NA,23,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.466,NA,0,0,0,0,0,0,0,0,0,0,0,I would try both Morag and Struan                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,"Yes, Blue was struan, yellow was a negative word, purple was a positive word.                       ",1,No                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,4
438,NA,32,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.064,NA,-5,-5,-5,-5,5,5,5,5,-5,5,-10,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Green                                                                                               ,Blue                                                                                                ,Yellow                                                                                              ,Green                                                                                               ,0,0,0,0,0,Yes                                                                                                 ,1,Yes                                                                                                 ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
439,NA,33,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.359,NA,-2,-2,0,0,-2,3,3,0,-1,1,-2,I would try neither Brand                                                                           ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,0,0,2,yes                                                                                                 ,1,yes                                                                                                 ,1,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,2
441,NA,38,Female                                                                                              ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.478,NA,2,1,1,1,-1,-2,-1,-1,1.25,-1.25,2.5,I would try Morag                                                                                   ,NA,NA,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,Green                                                                                               ,Yellow                                                                                              ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,0,0,0,1,Yes I did.                                                                                          ,1,I just tried to match the colours.                                                                  ,0,No                                                                                                  ,I don’t know                                                                                      ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,1
442,NA,29,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.692,NA,5,3,2,3,-1,-1,-1,-1,3.25,-1,4.25,I would try Morag                                                                                   ,NA,NA,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,Green                                                                                               ,Blue                                                                                                ,Purple                                                                                              ,Blue                                                                                                ,1,1,1,0,3,I didn't actually notice that only blue or green was on the left. I was more concentrating on checki,0,Not particularly. I don't actually associate blue/yellow or green/purple with the words.            ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,3
451,NA,33,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,-0.683,NA,-1,3,-1,-1,3,3,3,3,0,3,-3,I would try both Morag and Struan                                                                   ,NA,NA,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,I don’t remember                                                                                  ,Yellow                                                                                              ,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,0,0,No I didn't                                                                                         ,0,Maybe                                                                                               ,1,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Yellow                                                                                              ,1,Blue                                                                                                ,1,Purple                                                                                              ,1,Green                                                                                               ,1,0
463,NA,39,Female                                                                                              ,NA,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,IAT_First                                                                                           ,        ,NA,0.83,NA,0,0,0,0,0,0,0,0,0,0,0,I would try Struan                                                                                  ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Blue                                                                                                ,Green                                                                                               ,Purple                                                                                              ,Yellow                                                                                              ,1,1,1,1,4,yes                                                                                                 ,1,no                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,I don’t remember                                                                                  ,0,Green                                                                                               ,0,Purple                                                                                              ,1,I don’t remember                                                                                  ,0,4
465,NA,30,Male                                                                                                ,NA,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,Self_Reports_First                                                                                  ,        ,NA,0.03,NA,3,2,2,0,-1,-1,0,-1,1.75,-0.75,2.5,I would try Morag                                                                                   ,NA,NA,One word always have a positive meaning and the other a negative meaning                            ,1,One word always have a positive meaning and the other a negative meaning                            ,1,Yellow                                                                                              ,Purple                                                                                              ,Green                                                                                               ,Purple                                                                                              ,0,0,0,0,0,Yes                                                                                                 ,1,no                                                                                                  ,0,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,No                                                                                                  ,Purple                                                                                              ,0,I don’t remember                                                                                  ,0,Yellow                                                                                              ,0,Blue                                                                                                ,0,0
