Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Color_Matching,Stimulus_Identity,Evaluative_Measures_Order,IAT_Block_Order,US_Stimuli_Identity,IMPLICIT_MEASURES,IAT_Score,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EXPLORATORY_QUESTIONS,CS_US_Color_Contingency_CS1,CS_US_Color_Contingency_CS2,CS_US_Color_Contingency_CS1_Recoded,CS_US_Color_Contingency_CS2_Recoded,CS_US_Color_Contingency_Total,US_Contingency_Awareness_CS1,US_Contingency_Awareness_CS1_recoded,US_Contingency_Awareness_CS2,US_Contingency_Awareness_CS2_recoded,Hypothesis_Awareness,HYPOT0,Hypothesis_Awareness_recoded,Influence_Awareness_response,INFLU0,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Reactance_Self_Reports,Reactance_IAT,Total_Contingency_Awareness_Score
191,NA,25,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0.09,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No                                                                                                                                                                                                                                                             ,                                         ,0,No            ,No            ,I don’t know,No            ,2
194,NA,36,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,-0.16,NA,I would try Struan                                                                                  ,                                                                                                    ,-4,-4,-4,-4,4,4,4,4,-4,4,-8,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,no                                                                                                                                                                                                                                                             ,                                         ,0,Yes           ,No            ,No            ,No            ,2
195,NA,27,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,-0.12,NA,I would try neither Brand                                                                           ,                                                                                                    ,0,0,0,0,0,0,0,0,0,0,0,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No                                                                                                                                                                                                                                                             ,                                         ,0,No            ,No            ,No            ,No            ,2
197,NA,22,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.86,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,4,4,4,3,-3,-2,-3,-4,3.75,-3,6.75,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,Not sure                                                                                                                                                                                                                                                       ,                                        ,0,No                                                                                                                                                                                                                                                             ,                                         ,0,No            ,No            ,No            ,No            ,0
202,NA,32,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.19,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,2,2,2,3,-1,-1,-1,-1,2.25,-1,3.25,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,not really                                                                                                                                                                                                                                                     ,                                         ,0,No            ,No            ,No            ,No            ,2
204,NA,31,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.13,NA,I would try Struan                                                                                  ,                                                                                                    ,3,1,4,1,1,5,2,1,2.25,2.25,0,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,Yes I noticed this.                                                                                                                                                                                                                                            ,                                        ,1,No they did not impact my perception of morag or struan.                                                                                                                                                                                                       ,                                         ,0,No            ,No            ,No            ,No            ,2
210,NA,30,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.17,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,1,1,1,0,-1,-1,0,0,0.75,-0.5,1.25,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,Yes                                                                                                                                                                                                                                                            ,                                         ,1,No            ,No            ,No            ,No            ,2
213,NA,30,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.57,NA,I would try Morag                                                                                   ,                                                                                                    ,5,5,5,5,-5,-5,-5,-5,5,-5,10,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes.                                                                                                                                                                                                                                                           ,                                        ,1,Yes.                                                                                                                                                                                                                                                           ,                                         ,1,No            ,No            ,No            ,No            ,2
216,NA,29,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.19,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,-2,0,-1,-1,3,1,3,4,-1,2.75,-3.75,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes i did. the colour of either morag or straun never changed                                                                                                                                                                                                  ,                                        ,1,no it did not. i was on the look out for wheather morag or struan was associated with either negative or possitive                                                                                                                                             ,                                         ,0,No            ,No            ,Yes           ,No            ,2
218,NA,34,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,-0.71,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,-2,-2,-2,-2,2,2,2,2,-2,2,-4,NA,The negative words                                                                                  ,The positive words                                                                                  ,0,0,0,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,Yes I did                                                                                                                                                                                                                                                      ,                                        ,1,Yes a little. Sublimininal messaging.                                                                                                                                                                                                                          ,                                         ,1,Yes           ,No            ,No            ,No            ,0
219,NA,31,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.51,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,3,2,1,1,-1,-1,-1,-2,1.75,-1.25,3,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,Those two other words always have a negative meaning                                                ,0,yes                                                                                                                                                                                                                                                            ,                                        ,1,yes as it highlighted a word                                                                                                                                                                                                                                   ,                                         ,1,I don’t know,No            ,No            ,No            ,2
221,NA,18,Male                                        ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,-0.94,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,-5,-5,-5,-5,5,5,5,5,-5,5,-10,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,"Yes, Struan stayed the same colour as the positive words whereas Morag was the opposite.                                                                                                                                                                       ",                                        ,1,Yes                                                                                                                                                                                                                                                            ,                                         ,1,I don’t know,No            ,No            ,No            ,2
222,NA,30,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.48,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,-4,-3,-4,-4,4,4,4,4,-3.75,4,-7.75,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes morag had a negative connotation and struan had a positive                                                                                                                                                                                                 ,                                        ,1,Yes I felt that morag was bad and struan good                                                                                                                                                                                                                  ,                                         ,1,No            ,No            ,No            ,No            ,2
225,NA,28,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,-0.57,NA,I would try Struan                                                                                  ,                                                                                                    ,-3,-3,-3,-3,2,3,1,2,-3,2,-5,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Those two other words always have a positive meaning                                                ,0,Those two other words always have a negative meaning                                                ,0,Yes (not during the first test but during the second of the three)                                                                                                                                                                                             ,                                        ,1,"No, I associated them with the word where the colour change, not with the one where the colour stayed the same                                                                                                                                                 ",                                         ,0,No            ,No            ,No            ,No            ,2
227,NA,39,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,-0.7,NA,I would try Struan                                                                                  ,                                                                                                    ,-2,-2,-2,-2,2,2,2,2,-2,2,-4,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,Those two other words always have a negative meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,yes                                                                                                                                                                                                                                                            ,                                        ,1,yes                                                                                                                                                                                                                                                            ,                                         ,1,No            ,No            ,No            ,No            ,2
232,NA,34,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.31,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,1,1,1,1,2,2,2,2,1,2,-1,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes i did notice                                                                                                                                                                                                                                               ,                                        ,1,es the more negative words made the product seem more negative                                                                                                                                                                                                 ,                                         ,1,Yes           ,Yes           ,No            ,Yes           ,2
239,NA,27,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0.53,NA,I would try neither Brand                                                                           ,                                                                                                    ,-2,-2,-2,-2,0,0,0,0,-2,0,-2,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,I am not sure                                                                                                                                                                                                                                                  ,                                         ,0,No            ,No            ,No            ,No            ,2
240,NA,32,Female                                      ,NA,CS2_Positive_CS1_Negative                                                                           ,Struan_Good_Morag_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.11,NA,I would try Morag                                                                                   ,                                                                                                    ,1,2,2,4,3,3,3,3,2.25,3,-0.75,NA,The positive words                                                                                  ,The negative words                                                                                  ,1,1,2,Those two other words always have a positive meaning                                                ,0,Those two other words always have a positive meaning                                                ,0,no one color was green other yellow                                                                                                                                                                                                                            ,                                        ,0,"positive did green, negative pink or yellow                                                                                                                                                                                                                    ",                                         ,0,Yes           ,Yes           ,Yes           ,Yes           ,2
242,NA,27,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.53,NA,I would try Morag                                                                                   ,                                                                                                    ,5,5,5,5,-5,-5,-5,-5,5,-5,10,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Didnt notice                                                                                                                                                                                                                                                   ,                                        ,0,yes                                                                                                                                                                                                                                                            ,                                         ,1,No            ,No            ,No            ,No            ,0
243,NA,33,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_2                                                                                               ,NA,0.01,NA,I would try both Morag and Struan                                                                   ,                                                                                                    ,1,0,0,1,0,0,0,0,0.5,0,0.5,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,No. I was thinking more of looking for a pattern. Why the color changed but not really influenced if I disliked one word over the other.                                                                                                                       ,                                         ,0,No            ,Yes           ,No            ,Yes           ,2
244,NA,21,Male                                        ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Inconsistent_First                                                                         ,Set_2                                                                                               ,NA,0.7,NA,I would try Morag                                                                                   ,                                                                                                    ,2,2,5,0,-2,-2,-2,0,2.25,-1.5,3.75,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes                                                                                                                                                                                                                                                            ,                                        ,1,Stayed the same                                                                                                                                                                                                                                                ,                                         ,0,I don’t know,No            ,No            ,No            ,2
245,NA,28,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,0.22,NA,I would try Morag                                                                                   ,                                                                                                    ,5,5,5,5,-5,-5,-5,-5,5,-5,10,NA,The positive words                                                                                  ,The negative words                                                                                  ,0,0,0,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes.                                                                                                                                                                                                                                                           ,                                        ,1,yes. Negative for one and positive for the other                                                                                                                                                                                                               ,                                         ,1,No            ,No            ,No            ,No            ,0
246,NA,30,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,Self_Reports_First                                                                                  ,Learning_Inconsistent_First                                                                         ,Set_1                                                                                               ,NA,0.22,NA,I would try Morag                                                                                   ,                                                                                                    ,4,5,5,5,-5,-4,-4,-5,4.75,-4.5,9.25,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,yes                                                                                                                                                                                                                                                            ,                                        ,1,yes it did influence it                                                                                                                                                                                                                                        ,                                         ,1,No            ,No            ,No            ,No            ,2
247,NA,24,Female                                      ,NA,CS1_Positive_CS2_Negative                                                                           ,Morag_Good_Struan_Bad                                                                               ,IAT_First                                                                                           ,Learning_Consistent_First                                                                           ,Set_1                                                                                               ,NA,-0.57,NA,I would try Struan                                                                                  ,                                                                                                    ,-4,-3,-3,-3,4,4,3,4,-3.25,3.75,-7,NA,The negative words                                                                                  ,The positive words                                                                                  ,1,1,2,One word always had a positive meaning and the other had a negative meaning                         ,1,One word always had a positive meaning and the other had a negative meaning                         ,1,Yes I noticed                                                                                                                                                                                                                                                  ,                                        ,1,That they changed colour made me associate them with Morag and Struan                                                                                                                                                                                          ,                                         ,1,No            ,No            ,No            ,No            ,2
