Participant,DEMOGRAPHIC_VARIABLES,Age,Gender,EXPERIMENTAL_CONDITIONS_METHOD_FACTORS,Evaluative_Measure_Order,Stimulus_Identity,Color_Matching,IMPLICIT_MEASURES,IAT_Score,IAT_Score_RECODED,EXPLICIT_MEASURES,Intentions_response,Intention_Ratings_Recoded,Stimulus_1a_Positive_Negative_Positive_Negative_response,Stimulus_1a_Good_Bad_Good_Bad_response,Stimulus_1a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_1a_Like_Dislike_Like_Dislike_response,Stimulus_2a_Positive_Negative_Positive_Negative_response,Stimulus_2a_Good_Bad_Good_Bad_response,Stimulus_2a_Pleasant_Unpleasant_Pleasant_Unpleasant_response,Stimulus_2a_Like_Dislike_Like_Dislike_response,CS1_Self_Report_Total,CS2_Self_Report_Total,EC_Effect_CS1_CS2_Difference_Score,EC_Effect_CS1_CS2_Difference_Score_RECODED,EXPLORATORY_QUESTIONS,Contingency_awareness_US_Valence_CS1,Contingency_awareness_US_Valence_CS2,Contingency_awareness_US_Valence_CS1_recoded,Contingency_awareness_US_Valence_CS2_recoded,Total_US_Valence_Contingency_Score,CS_US_Contingency_Awareness_CS1,CS_US_Contingency_Awareness_CS2,CS_US_Contingency_Awareness_CS1_recoded,CS_US_Contingency_Awareness_CS2_recoded,Total_CS_US_Contingency_Score,Hypothesis_Awareness,Influence_Awareness_response,Hypothesis_Awareness_recoded,Influence_Awareness_recoded,Demand_Self_Reports,Demand_IAT,Demand_Self_Reports_recoded,Demand_IAT_recoded,Reactance_Self_Reports,Reactance_IAT,Did_the_participant_take_any_notes_response
716,NA,21,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.37061936,0.37061936,NA,I would try Morag                                                                                   ,1,3,3,3,3,1,3,3,3,3,2.5,0.5,0.5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,0,0,0,No                                                                                                  ,Not at all                                                                                          ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
726,NA,20,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.290050487,0.290050487,NA,I would try neither Brand                                                                           ,0,1,0,0,1,1,2,2,2,0.5,1.75,-1.25,1.25,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,not really                                                                                          ,possibly yes                                                                                        ,0,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
728,NA,32,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.453785172,0.453785172,NA,I would try neither Brand                                                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,No                                                                                                  ,"I didn't notice which words were associated with each word, just that a mixture of bad and good were",0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
738,NA,30,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.254827921,0.254827921,NA,I would try neither Brand                                                                           ,0,4,3,3,3,-4,-3,-3,-3,3.25,-3.25,6.5,6.5,NA,always have a positive meaning                                                                      ,always have a negative meaning                                                                      ,0,0,0,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,"Yes, the connection became clear quite early on.                                                    ",Yes until the word assocation test at the end. Then you end up disconnecting any feelings with the w,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
739,NA,18,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.584868501,0.584868501,NA,I would try neither Brand                                                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ",I don’t remember                                                                                  ,1,0,1,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,no                                                                                                  ,no because i didn't notice                                                                          ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
742,NA,29,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.418907542,-0.418907542,NA,I would try Morag                                                                                   ,0,0,1,0,0,0,0,0,0,0.25,0,0.25,-0.25,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,I don╝t remember                                                                                  ,I don't remember                                                                                    ,0,0,0,No.                                                                                                 ,"No, as I did not notice. I was focussing too much on the actual colours.                            ",0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
743,NA,34,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.308204642,-0.308204642,NA,I would try neither Brand                                                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,yes                                                                                                 ,no                                                                                                  ,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
747,NA,18,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.48289121,0.48289121,NA,I would try Morag                                                                                   ,1,1,1,2,1,1,1,1,0,1.25,0.75,0.5,0.5,NA,always have a positive meaning                                                                      ,always have a negative meaning                                                                      ,0,0,0,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes. Struan was paired with murder and agony whereas morag was paired with pleasure and happy etc.  ,A little bit yes. The colour coordination lulls the brain into a subconscious link between the two w,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
756,NA,20,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.456594249,0.456594249,NA,I would try Morag                                                                                   ,1,3,4,4,4,-4,-3,-3,-3,3.75,-3.25,7,7,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes I did                                                                                           ,Yes it did influence me                                                                             ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
766,NA,37,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.340743707,-0.340743707,NA,I would try Morag                                                                                   ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,No                                                                                                  ,"I found, for myself, it had no effect on how I perceived these words.                               ",0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
767,NA,27,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.699507591,0.699507591,NA,I would try Struan                                                                                  ,1,-3,-3,-2,-2,3,3,3,3,-2.5,3,-5.5,5.5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,Yes suprisingly                                                                                     ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
770,NA,34,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,-1.088613565,-1.088613565,NA,I would try Struan                                                                                  ,0,-2,-2,-2,-2,2,2,2,2,-2,2,-4,-4,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,0,0,0,"No, i thought it was the other way around.                                                          ","I'm not sure why, but i associated morag with negative and struan with positive. I was paying more a",0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
774,NA,20,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.237262866,0.237262866,NA,I would try Morag                                                                                   ,0,-2,0,0,-1,0,-2,1,-1,-0.75,-0.5,-0.25,0.25,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,No I didn't.                                                                                        ,No it didn't.                                                                                       ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
775,NA,19,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.562271931,-0.562271931,NA,I would try Struan                                                                                  ,1,0,1,0,0,0,2,2,0,0.25,1,-0.75,0.75,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,I don’t remember                                                                                  ,1,0,1,No I did not.                                                                                       ,"No, not really, I honestly did not realize how MORAG and NEGATIVE words were presented in the same c",0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
780,NA,36,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.732865823,0.732865823,NA,I would try Morag                                                                                   ,1,3,3,3,3,-3,-3,-2,1,3,-1.75,4.75,4.75,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes. Struan connected with words such as cancer and morag connected with words such as peace        ,Yes. It made me think Morag was a nicer word to use than Struan. It mdae me feel it was softer sound,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
782,NA,21,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.081267256,-0.081267256,NA,I would try Struan                                                                                  ,1,-3,-4,-3,-2,4,4,4,3,-3,3.75,-6.75,6.75,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,No                                                                                                  ,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
786,NA,36,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.528797257,0.528797257,NA,I would try neither Brand                                                                           ,0,5,5,5,5,-5,-5,-5,-5,5,-5,10,10,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,Yes                                                                                                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
788,NA,39,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,-0.503026699,-0.503026699,NA,I would try neither Brand                                                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,"Yes, I noticed it towards the end of the first block                                                ","No, By the time the question regarding how much I liked or disliked MORAG and STRUAN arrived I didn'",1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
796,NA,25,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.284271295,0.284271295,NA,I would try neither Brand                                                                           ,0,3,3,3,3,-3,-3,-3,-3,3,-3,6,6,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,"Yes, I noticed this.                                                                                ",Yes.                                                                                                ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
800,NA,25,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,-0.363475701,0.363475701,NA,I would try Morag                                                                                   ,0,5,5,5,5,-3,5,5,-3,5,1,4,-4,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,No                                                                                                  ,1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
801,NA,29,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.394558702,0.394558702,NA,I would try Morag                                                                                   ,1,5,4,4,4,-3,-5,-3,-3,4.25,-3.5,7.75,7.75,NA,always have a positive meaning                                                                      ,always have a negative meaning                                                                      ,0,0,0,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,I didn't notice this until the 3rd time going through them                                          ,Yes                                                                                                 ,0,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
809,NA,20,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.168760733,0.168760733,NA,I would try Morag                                                                                   ,1,3,2,4,3,3,2,0,4,3,2.25,0.75,0.75,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ",always have a negative meaning                                                                      ,1,0,1,and POSITIVE WORDS subsequently share a color                                                       ,I don’t remember                                                                                  ,1,0,1,No                                                                                                  ,I think it did but not sure                                                                         ,0,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
810,NA,40,female  ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.00709572,0.00709572,NA,I would try neither Brand                                                                           ,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,"Yes, it was very noticeable.                                                                        ","No - there may be a problem that I have friends called Morag, and knew kids at school called Struan.",1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
811,NA,21,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.143136547,0.143136547,NA,I would try Morag                                                                                   ,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,I don’t remember                                                                                  ,I don’t remember                                                                                  ,0,0,0,"No, I lost count of what came with what after the first few words so just watched what colours came ",Perhaps subconsciously but consciously I didn't notice anything like this.                          ,0,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
822,NA,45,male    ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.48049929,-0.48049929,NA,I would try Struan                                                                                  ,1,-5,-5,-5,-5,5,5,-5,5,-5,2.5,-7.5,7.5,NA,always have a negative meaning                                                                      ,always have a positive meaning                                                                      ,0,0,0,and NEGATIVE WORDS subsequently share a color                                                       ,and POSITIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,"Tried not to, but it was almost like being conditioned                                              ",1,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,Yes                                                                                                 
823,NA,19,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.14292993,-0.14292993,NA,I would try neither Brand                                                                           ,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,-1,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and NEUTRAL WORDS subsequently share a color                                                        ,and NEUTRAL WORDS subsequently share a color                                                        ,0,0,0,no i thought they were neutral                                                                      ,yes because it made you think that word was negative or positive                                    ,0,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
830,NA,37,female  ,NA,                                                                                                    ,Struan_Good_Morag_Bad                                                                               ,CS2_Positive_CS1_Negative                                                                           ,NA,0.731493772,-0.731493772,NA,I would try Morag                                                                                   ,0,1,-1,-1,0,0,-2,-3,-2,-0.25,-1.75,1.5,-1.5,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ",I don’t remember                                                                                  ,1,0,1,and POSITIVE WORDS subsequently share a color                                                       ,I don’t remember                                                                                  ,0,0,0,NO                                                                                                  ,NO                                                                                                  ,0,0,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
859,NA,19,male    ,NA,                                                                                                    ,Morag_Good_Struan_Bad                                                                               ,CS1_Positive_CS2_Negative                                                                           ,NA,0.563128602,0.563128602,NA,I would try Morag                                                                                   ,1,2,2,1,3,0,0,0,-1,2,-0.25,2.25,2.25,NA,"have different meanings (e.g., some were positive, some were negative, some were neutral)           ","have different meanings (e.g., some were positive, some were negative, some were neutral)           ",1,1,2,and POSITIVE WORDS subsequently share a color                                                       ,and NEGATIVE WORDS subsequently share a color                                                       ,1,1,2,Yes                                                                                                 ,Yes                                                                                                 ,1,1,How I actually felt about MORAG and STRUAN                                                          ,I tried to perform the task as quickly and accuarely as possible                                    ,0       ,0       ,0                                                                                                   ,0                                                                                                   ,No                                                                                                  
